# Source addresses observed sending one of six forged AI crawler user agents on a single HTTP client fingerprint, 28 July to 23 August 2026. The six names belong to Anthropic, OpenAI, Google and Perplexity. This is a complete enumeration of that population, 824 addresses, not a top-N sample or a volume ranking. Not one of them falls inside any address range those four companies publish for their crawlers. Classification as measured 2026-08-27: 806 malicious, 18 unknown, 0 benign; rows that carry no GreyNoise classification are not asserted as indicators. Two classes of row must not be treated as ordinary origins and the tool_fingerprint_observed column marks both: cloud-tenant-address-verify-before-denying marks hyperscaler tenant space, which is reassigned within days, so re-verify against current activity before denying; shared-egress-do-not-block marks an exit shared with unrelated users, and denying it denies them too. The fingerprint column names a software build seen on that address, never an actor and never a coordinated group. GreyNoise observes requests arriving and never outcomes: nothing here says a file was returned or that any organization was affected. TLP:CLEAR.
ip,sessions,tool_fingerprint_observed
34.125.61.197,1621,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.75.118.13,1619,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
207.175.200.19,1615,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.10.14.81,1614,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.73.216.149,1610,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.21.145.214,1607,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.77.204.16,1604,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.194.191.218,1601,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.6.139.22,1586,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
104.199.31.234,1582,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.156.227.98,1562,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.21.155.13,1561,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.6.233.84,1558,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.139.138.115,1555,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.76.51.81,1543,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.87.163.84,1538,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.180.75.132,1534,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.90.216.213,1534,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.85.160.245,1532,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.124.139.132,1529,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.228.27.91,1527,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
