plugin,days_observed,unique_ips,total_records,category
cloudflare,20,17,28,Strategic Targets
coblocks,20,17,28,Strategic Targets
font-awesome,20,17,28,Strategic Targets
photo-gallery,20,16,43,Strategic Targets
php-compatibility-checker,20,16,42,Strategic Targets
polylang,20,16,43,Strategic Targets
popup-builder,20,16,43,Strategic Targets
premium-addons-for-elementor,20,16,43,Strategic Targets
pretty-link,20,16,44,Strategic Targets
simple-custom-post-order,20,16,44,Strategic Targets
simple-history,20,16,43,Strategic Targets
simple-page-ordering,20,16,43,Strategic Targets
speedycache,20,16,43,Strategic Targets
tablepress,20,16,44,Strategic Targets
themeisle-companion,20,16,44,Strategic Targets
velvet-blues-update-urls,20,16,43,Strategic Targets
woo-inpost,20,16,43,Strategic Targets
woocommerce-gateway-paypal-express-checkout,20,16,43,Strategic Targets
woocommerce-legacy-rest-api,20,16,43,Strategic Targets
woocommerce-pdf-invoices-packing-slips,20,16,43,Strategic Targets
woocommerce-services,20,16,43,Strategic Targets
yith-woocommerce-wishlist,20,16,43,Strategic Targets
amp,19,16,27,Strategic Targets
antispam-bee,19,16,27,Strategic Targets
broken-link-checker,19,16,27,Strategic Targets
google-sitemap-generator,19,15,28,Strategic Targets
gtranslate,19,15,30,Strategic Targets
gutenberg,19,15,37,Strategic Targets
happy-elementor-addons,19,15,36,Strategic Targets
header-and-footer-scripts,19,15,37,Strategic Targets
header-footer,19,15,38,Strategic Targets
header-footer-code-manager,19,15,38,Strategic Targets
hunk-companion,19,15,43,Strategic Targets
image-optimization,19,15,43,Strategic Targets
imagify,19,15,43,Strategic Targets
instagram-feed,19,15,43,Strategic Targets
intuitive-custom-post-order,19,15,43,Strategic Targets
kirki,19,15,42,Strategic Targets
leadin,19,15,43,Strategic Targets
limit-login-attempts,19,15,42,Strategic Targets
loco-translate,19,15,43,Strategic Targets
loginpress,19,15,42,Strategic Targets
mailchimp-for-woocommerce,19,15,43,Strategic Targets
ocean-extra,19,15,41,Strategic Targets
post-types-order,19,15,43,Strategic Targets
shortcodes-ultimate,19,15,43,Strategic Targets
shortpixel-image-optimiser,19,15,43,Strategic Targets
siteorigin-panels,19,15,42,Strategic Targets
ssl-insecure-content-fixer,19,15,42,Strategic Targets
table-of-contents-plus,19,15,42,Strategic Targets
unyson,19,15,42,Strategic Targets
use-any-font,19,15,42,Strategic Targets
widget-importer-exporter,19,15,42,Strategic Targets
woocommerce-gateway-stripe,19,15,42,Strategic Targets
woocommerce-paypal-payments,19,15,42,Strategic Targets
woosidebars,19,15,42,Strategic Targets
wp-migrate-db,19,15,42,Strategic Targets
wp-sitemap-page,19,15,42,Strategic Targets
ad-inserter,18,15,25,Strategic Targets
add-to-any,18,15,26,Strategic Targets
admin-menu-editor,18,15,24,Strategic Targets
aryo-activity-log,18,15,26,Strategic Targets
breadcrumb-navxt,18,15,26,Strategic Targets
classic-editor,18,15,26,Strategic Targets
cmb2,18,15,26,Strategic Targets
contact-form-7-honeypot,18,15,26,Strategic Targets
contact-form-cfdb7,18,15,26,Strategic Targets
cookie-notice,18,15,26,Strategic Targets
copy-delete-posts,18,15,26,Strategic Targets
creame-whatsapp-me,18,15,26,Strategic Targets
creative-mail-by-constant-contact,18,15,26,Strategic Targets
custom-css-js,18,15,25,Strategic Targets
custom-fonts,18,15,26,Strategic Targets
custom-post-type-ui,18,15,26,Strategic Targets
disable-gutenberg,18,15,26,Strategic Targets
duracelltomi-google-tag-manager,18,15,26,Strategic Targets
easy-fancybox,18,15,26,Strategic Targets
easy-google-fonts,18,15,26,Strategic Targets
easy-table-of-contents,18,15,26,Strategic Targets
elementskit-lite,18,15,26,Strategic Targets
enable-media-replace,18,15,26,Strategic Targets
extendify,18,15,26,Strategic Targets
facebook-for-woocommerce,18,15,26,Strategic Targets
fast-indexing-api,18,15,26,Strategic Targets
favicon-by-realfavicongenerator,18,15,26,Strategic Targets
flamingo,18,15,26,Strategic Targets
gdpr-cookie-compliance,18,15,26,Strategic Targets
google-analytics-dashboard-for-wp,18,15,26,Strategic Targets
google-listings-and-ads,18,15,26,Strategic Targets
health-check,18,14,38,Strategic Targets
hello-dolly,18,14,38,Strategic Targets
host-webfonts-local,18,14,39,Strategic Targets
imsanity,18,14,42,Strategic Targets
inpost-for-woocommerce,18,14,42,Strategic Targets
yith-woocommerce-compare,18,14,40,Strategic Targets
all-404-redirect-to-homepage,17,14,25,Strategic Targets
black-studio-tinymce-widget,17,14,25,Strategic Targets
breeze,17,14,25,Strategic Targets
burst-statistics,17,14,25,Strategic Targets
chaty,17,14,25,Strategic Targets
child-theme-configurator,17,14,25,Strategic Targets
classic-widgets,17,14,25,Strategic Targets
click-to-chat-for-whatsapp,17,14,25,Strategic Targets
flexmls-idx,17,14,25,Strategic Targets
force-regenerate-thumbnails,17,14,25,Strategic Targets
wp-ticket,17,15,37,Strategic Targets
ai-engine,16,21,50,Strategic Targets
astra-widgets,16,13,24,Specialized Recon
backuply,16,13,24,Specialized Recon
wp-event-solution,15,19,25,Strategic Targets
wp-registration,14,16,22,Strategic Targets
"*"",""",12,16,16,Campaign Bursts
podlove-podcasting-plugin-for-wordpress,12,12,15,Opportunistic
gutenkit-blocks-addon,10,6,26,Opportunistic
order-delivery-date,9,7,10,Opportunistic
suretriggers,9,12,17,Opportunistic
uni-woo-custom-product-options-premium,9,7,12,Opportunistic
wp-marketing-automations,9,7,11,Opportunistic
wpcargo,9,12,15,Opportunistic
contact-form-entries,8,10,18,Opportunistic
ht-contactform,8,6,9,Opportunistic
quiz-master-next,8,11,14,Opportunistic
rss-feed-post-generator-echo,8,7,13,Opportunistic
sitepress-multilingual-cms,8,10,14,Opportunistic
WooCommerce-Multi-Locations-Inventory-Management,7,6,9,Opportunistic
acf-extended,7,12,16,Opportunistic
cekidot,7,19,28,Campaign Bursts
king-addons,7,11,14,Opportunistic
ti-woocommerce-wishlist,7,10,13,Opportunistic
user-registration,7,5,10,Opportunistic
wp-database-backup,7,10,13,Opportunistic
wp-db-backup,7,9,60,Opportunistic
wp-pipes,7,10,13,Opportunistic
wp-server-stats,7,10,13,Opportunistic
wpcom-member,7,10,13,Opportunistic
ad-invalid-click-protector,6,9,12,Opportunistic
afp,6,9,12,Opportunistic
ait-csv-import-export,6,9,12,Opportunistic
asset-manager,6,9,12,Opportunistic
b-slider,6,9,12,Opportunistic
blaze-widget,6,9,12,Opportunistic
britetechs-companion,6,9,12,Opportunistic
chart-builder,6,9,12,Opportunistic
cm-email-blacklist,6,9,12,Opportunistic
copymatic,6,9,12,Opportunistic
database-toolset,6,9,12,Opportunistic
debug-tool,6,9,12,Opportunistic
easy-facebook-likebox,6,9,12,Opportunistic
epoll-wp-voting,6,9,12,Opportunistic
everest-forms,6,9,9,Opportunistic
excel-like-price-change-for-woocommerce-and-wp-e-commerce-light,6,6,6,Opportunistic
exclusive-content-password-protect,6,9,12,Opportunistic
flynax-bridge,6,9,12,Opportunistic
free-wp-booster-by-ads-pro,6,9,12,Opportunistic
geo-my-wp,6,9,12,Opportunistic
ghl-wizard,6,9,12,Opportunistic
gotmls,6,9,12,Opportunistic
greenshift-animation-and-page-builder-blocks,6,9,12,Opportunistic
hide-my-wp,6,10,18,Opportunistic
import-export-with-custom-rest-api,6,9,12,Opportunistic
integrate-google-drive,6,9,12,Opportunistic
integration-for-contact-form-7-and-google-sheets,6,9,12,Opportunistic
integration-for-contact-form-7-and-pipedrive,6,9,12,Opportunistic
loginwp-pro,6,9,12,Opportunistic
my-geo-posts-free,6,9,12,Opportunistic
paid-member-subscriptions,6,9,12,Opportunistic
pardakht-delkhah,6,9,12,Opportunistic
partners,6,9,12,Opportunistic
pods,6,9,12,Opportunistic
popup-by-supsystic,6,9,12,Opportunistic
powerpress,6,9,12,Opportunistic
profile-builder,6,9,12,Opportunistic
propertyhive,6,9,12,Opportunistic
rometheme-for-elementor,6,9,12,Opportunistic
s2member,6,9,12,Opportunistic
seo-optimized-images,6,8,11,Opportunistic
simple-comment-editing,6,9,12,Opportunistic
simple-dashboard,6,9,12,Opportunistic
simple-file-list,6,9,12,Opportunistic
simple-payment,6,9,12,Opportunistic
simply-show-hooks,6,9,12,Opportunistic
tumult-hype-animations,6,9,12,Opportunistic
twenty20,6,9,11,Opportunistic
